condition,arm,tech,firms,groups,measure,mean,ci_low,ci_high
calm,ct_all,control_tower,48,1,network_profit_with_inventory,62782973.65471242,44733208.51523471,80832738.79419014
calm,ct_all,control_tower,48,1,satisfaction_index,0.000523565376967879,0.0003916198649039389,0.0006555108890318192
calm,ct_all,control_tower,48,1,fill_rate,0.0009659579061556715,0.0007109304917765993,0.0012209853205347437
calm,ct_all,control_tower,48,1,retail_on_time_rate,1.3818573927792954e-05,-3.5666060796756525e-05,6.330320865234243e-05
calm,ct_all,control_tower,48,1,quality_mean,0.00018220425855836425,0.00013902232536169569,0.0002253861917550328
calm,ct_all,control_tower,48,1,costs_tech,35072000.15999999,35072000.15999999,35072000.15999999
calm,ct_all,control_tower,48,1,costs_stockout,-18610441.713333335,-23523783.0055422,-13697100.42112447
calm,ct_all,control_tower,48,1,costs_holding,-22786231.11033334,-27786985.822986852,-17785476.397679824
calm,ct_all,control_tower,48,1,scrap_value,-12484257.232000018,-15992232.39221505,-8976282.071784984
calm,ct_all,control_tower,48,1,bullwhip_DC,-1.8405429809077243,-1.895053535245587,-1.7860324265698615
calm,ct_all,control_tower,48,1,bullwhip_MFG,-11.775976357814512,-12.28430901795871,-11.267643697670314
calm,ct_all,control_tower,48,1,bullwhip_CM,-71.18457139455226,-74.88762006840595,-67.48152272069858
calm,bc_all,blockchain,34,1,network_profit,313612653.32233375,312481819.50109273,314743487.1435748
calm,bc_all,blockchain,34,1,network_profit_with_inventory,321317020.85150886,320060865.4707944,322573176.23222333
calm,bc_all,blockchain,34,1,satisfaction_index,0.000954660405800863,0.000950671444292323,0.0009586493673094031
calm,bc_all,blockchain,34,1,fill_rate,1.819464526287007e-06,3.815025130806648e-08,3.600778801265947e-06
calm,bc_all,blockchain,34,1,retail_on_time_rate,0.0,0.0,0.0
calm,bc_all,blockchain,34,1,quality_mean,0.004768753367688357,0.0047495887605126345,0.004787917974864079
calm,bc_all,blockchain,34,1,costs_tech,10751999.94,10751999.94,10751999.94
calm,bc_all,blockchain,34,1,costs_stockout,-35046.201333338024,-69358.9196095347,-733.4830571413477
calm,bc_all,blockchain,34,1,costs_holding,10670319.910333307,10403276.14856172,10937363.672104895
calm,bc_all,blockchain,34,1,scrap_value,-489550483.4953334,-491342048.99561423,-487758917.9950525
calm,bc_all,blockchain,34,1,bullwhip_DC,4.676170395200667e-05,-0.00011481169635517828,0.00020833510425919162
calm,bc_all,blockchain,34,1,bullwhip_MFG,-0.00011050079096482553,-0.004353384441693041,0.00413238285976339
calm,bc_all,blockchain,34,1,bullwhip_CM,0.01114672650465991,-0.034490570141348306,0.056784023150668134
cm3_12w,ct_scattered,control_tower,6,6,network_profit,-5120000.0,-5120000.0,-5120000.0
cm3_12w,ct_scattered,control_tower,6,6,network_profit_with_inventory,-5120000.0,-5120000.0,-5120000.0
cm3_12w,ct_scattered,control_tower,6,6,satisfaction_index,0.0,0.0,0.0
