tech,scope,firms,measure,mean,ci_low,ci_high,base_mean,git_commit,git_dirty,run_date
ml_forecast,all,14,quality_mean,5.145273961263408e-05,2.29666513500905e-05,7.993882787517766e-05,0.9782243951970597,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,all,14,co2_kg,2122630.009476185,893102.4764760681,3352157.5424763015,2975435457.861808,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,all,14,costs_tech,12643185.720000003,11903130.467208844,13383240.972791161,0.0,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,all,14,costs_holding,8318468.24733332,4979648.93884854,11657287.5558181,1212962200.4356668,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,all,14,costs_shipping,-4389859.024333414,-7839395.00064606,-940323.048020767,4516546662.023,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,all,14,costs_stockout,-7320684.206333338,-10075072.918616328,-4566295.494050348,316103452.5773334,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,all,14,scrap_value,6152843.566000001,3673496.1222360884,8632191.009763913,2534818648.414666,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,all,14,costs_handling,777.6253333332949,432.38930663828336,1122.8613600283063,2161722.944,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,all,14,bullwhip_DC,-0.9367020472111566,-1.0807690236063887,-0.7926350708159244,8.097005523326827,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,all,14,bullwhip_MFG,-4.905752637172262,-5.575444825458925,-4.236060448885599,23.944031385413812,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,all,14,bullwhip_CM,-26.615585018719994,-30.21083244330701,-23.02033759413298,106.60575902029146,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,tier,8,network_profit,-6870220.641665904,-9094164.986524023,-4646276.2968077855,42097347577.692,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,tier,8,network_profit_with_inventory,-6059389.859943644,-7506450.953553293,-4612328.766333995,41399307504.953445,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,tier,8,satisfaction_index,-1.6684460578394086e-05,-3.014767916034532e-05,-3.2212419964428517e-06,0.9614914698367085,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,tier,8,fill_rate,-2.942043001750901e-05,-5.2797238782863256e-05,-6.043621252154764e-06,0.9835936735168377,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,tier,8,retail_on_time_rate,-5.656075724462065e-06,-3.169277896972279e-05,2.038062752079866e-05,0.9134991801295925,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,tier,8,quality_mean,-1.3871142614307884e-06,-1.164377062053899e-05,8.869542097677412e-06,0.9782243951970597,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,tier,8,co2_kg,-55372.27612935702,-361615.6781014437,250871.1258427296,2975435457.861808,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,tier,8,costs_tech,5099600.0,4767697.536253132,5431502.463746868,0.0,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,tier,8,costs_holding,-775609.1240000168,-1260711.7373580076,-290506.5106420262,1212962200.4356668,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,tier,8,costs_shipping,-421344.14399998984,-970409.8456633026,127721.55766332289,4516546662.023,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
ml_forecast,tier,8,costs_stockout,566677.250666671,116469.06286057521,1016885.4384727667,316103452.5773334,11401c107f61821898f4934e0fb390e72e03400d,True,2026-09-24
