scenario,tech,effect_scale,profit_with_inventory,profit,ci_low,ci_high,satisfaction,fill_rate,costs_tech,profit_cost_x0.5,profit_cost_x2,breakeven_cost_mult
cm3_12w,rfid,1.5,90498960.96394323,130057711.27466685,91661057.45313218,168454365.0962015,-0.00022112979136512296,-0.0004452994661340452,13824000.0,136969711.27466685,116233711.27466685,10.408109901234582
cm3_12w,risk_intel,0.5,259763284.69443893,259748662.90400085,221642882.3284458,297854443.4795559,0.002246741859541638,0.004456016236315848,8192000.0,263844662.90400085,251556662.90400085,32.70760045214854
cm3_12w,risk_intel,1.0,575376775.3322552,575347894.8686676,528246016.1760442,622449773.561291,0.004688543181254922,0.00930345326191053,8192000.0,579443894.8686676,567155894.8686676,71.2328973228354
cm3_12w,risk_intel,1.5,887268638.9451783,887302267.0106664,834047739.9479901,940556794.0733427,0.00710510201583859,0.014145146072112695,8192000.0,891398267.0106664,879110267.0106664,109.31326501595048
cm3_12w,routing,0.5,211419981.98466694,211419981.9846667,210200143.97060958,212639819.99872383,0.0,0.0,7168000.0,215003981.9846667,204251981.9846667,30.494975165271583
cm3_12w,routing,1.0,430007964.0239993,430007964.0239995,427568287.9983199,432447640.0496791,0.0,0.0,7168000.0,433591964.0239995,422839964.0239995,60.98995033816958
cm3_12w,routing,1.5,648595946.0140002,648595946.0140002,644936431.9673915,652255460.0606089,0.0,0.0,7168000.0,652179946.0140002,641427946.0140002,91.4849255041853
cm3_12w,wh_robotics,0.5,46357388.906937405,47028778.959000655,35488118.59849675,58569439.31950456,0.0033551516689965476,0.0010926290189073762,19360000.0,56708778.959000655,27668778.959000655,3.4291724668905297
cm3_12w,wh_robotics,1.0,119007151.08610865,120734222.58166708,101786878.25868349,139681566.90465066,0.006628833175124719,0.0022674577285629383,19360000.0,130414222.58166708,101374222.58166708,7.2362718275654485
cm3_12w,wh_robotics,1.5,176627786.1481242,176251923.41733372,149349037.88198805,203154808.9526794,0.009478815811704606,0.0032157495520144836,19360000.0,185931923.41733372,156891923.41733372,10.103921664118477
