condition,arm,tech,firms,groups,measure,mean,ci_low,ci_high,git_commit,git_dirty,run_date
calm,bc_dyads,blockchain,6,3,satisfaction_index,6.023032331503586e-06,3.760235023066832e-06,8.28582963994034e-06,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,fill_rate,3.0316193999624376e-12,-3.1680422729607457e-12,9.23128107288562e-12,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,retail_on_time_rate,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,quality_mean,3.0115154078558247e-05,1.8801172730874964e-05,4.142913542624153e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,costs_tech,1538133.3333333333,1248317.3128092801,1827949.3538573864,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,costs_stockout,-0.0753333330154419,-0.22938999903202056,0.07872333300113676,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,costs_holding,69949.73633332252,44813.221906524544,95086.2507601205,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,scrap_value,-3557669.1740000565,-4861044.99602059,-2254293.351979523,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,bullwhip_DC,-2.7854210789731344e-10,-8.481607185473196e-10,2.910765027526927e-10,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,bullwhip_MFG,7.673021199157877e-08,-4.840292826925338e-07,6.374897066756913e-07,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_dyads,blockchain,6,3,bullwhip_CM,-0.0010033020244122782,-0.0017966387625383876,-0.00020996528628616882,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm3,blockchain,6,1,network_profit,8971531.751334127,2467067.633177396,15475995.869490858,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm3,blockchain,6,1,network_profit_with_inventory,9181924.073627472,2532641.010356566,15831207.136898378,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm3,blockchain,6,1,satisfaction_index,3.487359584837998e-05,1.0863754969823604e-05,5.888343672693635e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm3,blockchain,6,1,fill_rate,4.4425692461806206e-08,-4.182095367417624e-08,1.3067233859778866e-07,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm3,blockchain,6,1,retail_on_time_rate,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm3,blockchain,6,1,quality_mean,0.0001742569150106695,5.428455874292089e-05,0.0002942292712784181,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm3,blockchain,6,1,costs_tech,842666.6466666666,566052.5101618062,1119280.783171527,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm3,blockchain,6,1,costs_stockout,-855.251666667064,-2515.2928616328422,804.7895282987142,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm3,blockchain,6,1,costs_holding,342057.6853333235,106473.6436126199,577641.7270540271,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm3,blockchain,6,1,scrap_value,-14809202.84500006,-25003725.52930803,-4614680.160692094,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm3,blockchain,6,1,bullwhip_DC,3.1833368428676088e-06,-2.0236657385343984e-06,8.390339424269616e-06,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm3,blockchain,6,1,bullwhip_MFG,-5.1937935513635126e-05,-0.00017457585764654339,7.069998661927315e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm3,blockchain,6,1,bullwhip_CM,0.0031955855296871504,-0.0020345575352718344,0.008425728594646135,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm1,blockchain,6,1,network_profit,2088204.8063341777,319219.1750625351,3857190.4376058206,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm1,blockchain,6,1,network_profit_with_inventory,2157587.420052592,341126.9500816341,3974047.89002355,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm1,blockchain,6,1,satisfaction_index,1.0784287747837389e-05,3.356330961457166e-06,1.821224453421761e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm1,blockchain,6,1,fill_rate,-2.9532472393493473e-10,-8.960592942683467e-10,3.054098463984773e-10,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm1,blockchain,6,1,retail_on_time_rate,0.0,0.0,0.0,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm1,blockchain,6,1,quality_mean,5.3922177051024534e-05,1.6781901261308396e-05,9.106245284074067e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm1,blockchain,6,1,costs_tech,842666.6466666666,566052.5101618062,1119280.783171527,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm1,blockchain,6,1,costs_stockout,5.722666664918264,-5.924602392250548,17.369935722087074,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm1,blockchain,6,1,costs_holding,95639.31199998061,29685.54002866782,161593.0839712934,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm1,blockchain,6,1,scrap_value,-4471706.474666675,-7550092.002672812,-1393320.9466605377,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm1,blockchain,6,1,bullwhip_DC,-3.376080537501972e-07,-1.0281948419889283e-06,3.5297873448853386e-07,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm1,blockchain,6,1,bullwhip_MFG,-5.367816063639452e-06,-1.5764778532866125e-05,5.029146405587219e-06,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,bc_hub_cm1,blockchain,6,1,bullwhip_CM,-9.820666946325218e-06,-0.0012379331999740563,0.0012182918660814058,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_all,control_tower,48,1,network_profit,21507874.347666677,842388.4650140256,42173360.23031933,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_all,control_tower,48,1,network_profit_with_inventory,21073789.264929708,4060781.262655884,38086797.26720353,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_all,control_tower,48,1,satisfaction_index,0.00027922275658238683,0.0001442321126824685,0.00041421340048230517,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_all,control_tower,48,1,fill_rate,0.0005292869425406521,0.00027136057046072564,0.0007872133146205785,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_all,control_tower,48,1,retail_on_time_rate,-2.838402226708799e-06,-3.9600564726476716e-05,3.392376027305912e-05,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_all,control_tower,48,1,quality_mean,7.715402990035036e-05,3.530490591238233e-05,0.00011900315388831839,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
calm,ct_all,control_tower,48,1,costs_tech,19151999.839999996,15150810.448596744,23153189.231403247,46e85e23c6b5b283330bf353bc675f546450ff2f,False,2026-09-26
