condition,factor,low,high,measure,effect,ci_low,ci_high,mean_at_low,mean_at_high
calm,cost_split,equal,by_size,adopt_routing,-0.05625,-0.1338502612465191,0.021350261246519113,5.585416666666666,5.529166666666667
calm,cost_split,equal,by_size,adopt_wh_robotics,0.0,0.0,0.0,0.0,0.0
calm,cost_split,equal,by_size,adopt_blockchain,1.2020833333333334,0.5490500181764638,1.855116648490203,3.83125,5.033333333333333
calm,cost_split,equal,by_size,adopt_risk_intel,0.0,0.0,0.0,0.0,0.0
calm,cost_split,equal,by_size,formed_dyad,0.01875,-0.029171116930084885,0.06667111693008489,0.07291666666666667,0.09166666666666666
calm,cost_split,equal,by_size,formed_triad,0.0125,-0.006288522448298851,0.031288522448298856,0.004166666666666667,0.016666666666666666
calm,cost_split,equal,by_size,formed_chain,0.22708333333333333,0.15091586562877993,0.3032508010378867,0.9145833333333333,1.1416666666666666
calm,cost_split,equal,by_size,formed_network,0.0,0.0,0.0,0.0,0.0
calm,cost_split,equal,by_size,failed_acceptance,-6.10625,-8.31051702961098,-3.9019829703890205,95.98958333333333,89.88333333333334
calm,cost_split,equal,by_size,failed_budget,0.0,0.0,0.0,0.0,0.0
calm,max_new_per_quarter,1,2,d_network_profit,25117204.86695814,-6837264.286244974,57071674.020161256,266201240.92783406,291318445.7947922
calm,max_new_per_quarter,1,2,d_network_profit_with_inventory,23126616.036781598,-7849338.070080716,54102570.143643916,241686159.98422593,264812776.02100754
calm,max_new_per_quarter,1,2,d_satisfaction_index,9.239630590724112e-05,2.303572591458063e-05,0.0001617568858999016,0.00014285397015611166,0.0002352502760633528
calm,max_new_per_quarter,1,2,d_fill_rate,0.00015059082165936946,1.816514199132728e-05,0.00028301650132741163,0.0002581936567554006,0.0004087844784147701
calm,max_new_per_quarter,1,2,costs_tech,11344155.212166663,10298199.26983267,12390111.154500656,32641293.757958334,43985448.970125
calm,max_new_per_quarter,1,2,adoptions,11.95,9.836525316756841,14.063474683243157,49.6375,61.5875
calm,max_new_per_quarter,1,2,coalitions,0.8833333333333333,0.6919102655269429,1.0747564011397237,0.6791666666666667,1.5625
calm,max_new_per_quarter,1,2,mean_adopt_week,-9.182386636224154,-10.849988834801536,-7.514784437646772,50.79795566855457,41.61556903233041
calm,max_new_per_quarter,1,2,adopt_ml_forecast,2.7645833333333334,1.9385863201176285,3.5905803465490385,13.533333333333333,16.297916666666666
calm,max_new_per_quarter,1,2,adopt_control_tower,8.214583333333334,7.088410477305873,9.340756189360794,4.820833333333334,13.035416666666666
calm,max_new_per_quarter,1,2,adopt_rfid,-0.10833333333333334,-0.37055282243465737,0.1538861557679907,21.833333333333332,21.725
calm,max_new_per_quarter,1,2,adopt_aps,0.0,0.0,0.0,0.0,0.0
calm,max_new_per_quarter,1,2,adopt_routing,0.42291666666666666,0.06655156323481343,0.77928177009852,5.345833333333333,5.76875
calm,max_new_per_quarter,1,2,adopt_wh_robotics,0.0,0.0,0.0,0.0,0.0
calm,max_new_per_quarter,1,2,adopt_blockchain,0.65625,-0.7458860489977341,2.0583860489977344,4.104166666666667,4.760416666666667
calm,max_new_per_quarter,1,2,adopt_risk_intel,0.0,0.0,0.0,0.0,0.0
calm,max_new_per_quarter,1,2,formed_dyad,0.05625,-0.013715544600923939,0.12621554460092393,0.05416666666666667,0.11041666666666666
calm,max_new_per_quarter,1,2,formed_triad,0.004166666666666667,-0.015147510280700636,0.023480843614033967,0.008333333333333333,0.0125
calm,max_new_per_quarter,1,2,formed_chain,0.8229166666666666,0.6440333920079772,1.001799941325356,0.6166666666666667,1.4395833333333334
calm,max_new_per_quarter,1,2,formed_network,0.0,0.0,0.0,0.0,0.0
calm,max_new_per_quarter,1,2,failed_acceptance,-0.49375,-4.143305045909645,3.1558050459096445,93.18333333333334,92.68958333333333
calm,max_new_per_quarter,1,2,failed_budget,0.0,0.0,0.0,0.0,0.0
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_network_profit,-27078.29472916921,-186506.52340546652,132349.93394712813,278134418.5173536,278107340.2226244
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_network_profit_with_inventory,12697.610588582356,-160364.81417457023,185760.03535173493,254421552.58555984,254434250.19614843
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_satisfaction_index,2.6055700902994733e-07,-1.050596810661473e-06,1.5717108287213678e-06,0.0003106159995334673,0.0003108765565424972
cm3_12w,budget_share,"(0.01, 0.04)","(0.05, 0.2)",d_fill_rate,4.0611398198289737e-07,-2.2455393638014767e-06,3.0577673277672716e-06,0.0005572852895344309,0.0005576914035164138
